score,bollinger_up_distance_ratio,bollinger_down_distance_ratio,yesterday_noise,yesterday_range_ratio,target_ratio,today_open_price,current_price,current_high_price_ratio,current_low_price_ratio,result
-23,9.44,39.55,0.96,5.29,-2.57,73.3,71.36,0.54,-2.64,SHORT
-51,15.82,33.66,0.34,7.91,-4.0,69.45,66.28,0.98,-4.58,LONG
-17,18.73,28.58,0.54,6.11,3.05,67.49,69.65,3.2,-1.67,LONG
59,13.57,28.93,0.29,6.35,2.95,70.55,73.04,3.53,-1.06,LONG
59,9.68,28.74,0.38,5.91,2.77,73.16,75.28,2.91,-1.95,LONG
59,5.67,28.14,0.69,5.38,2.66,77.23,79.38,2.77,-0.48,LONG
3,2.67,27.76,0.55,7.45,-3.48,79.85,76.79,0.64,-3.83,SHORT
-47,5.22,18.13,0.6,7.5,-3.51,76.61,73.81,2.86,-3.66,SHORT
35,8.36,11.6,0.53,3.48,1.74,74.04,75.38,1.8,-0.28,SHORT
-59,8.74,10.17,0.88,4.22,-2.08,73.67,72.1,0.79,-2.14,SHORT
-17,11.92,5.95,0.28,4.56,2.3,71.24,73.0,2.46,-1.03,LONG
17,4.24,12.57,0.54,3.66,-1.83,77.48,75.94,0.17,-1.98,LONG
59,4.36,12.71,0.92,4.29,2.09,77.76,79.44,2.17,-0.17,LONG
59,8.68,32.54,0.09,24.7,9.16,95.25,105.23,10.48,-3.32,LONG
3,2.95,47.55,0.51,13.28,-6.64,106.33,97.79,4.2,-8.03,SHORT
-49,18.14,33.27,0.97,10.34,-4.9,88.72,83.68,3.53,-5.69,SHORT
-9,28.61,26.79,0.85,6.08,2.97,81.68,84.33,3.24,-1.16,SHORT
-59,25.74,28.28,0.69,7.83,-3.68,83.68,80.32,1.03,-4.02,SHORT
17,30.21,24.78,0.36,5.7,2.68,80.81,83.05,2.77,-0.75,LONG
59,22.19,28.07,0.27,9.23,4.15,86.24,90.28,4.68,-1.26,SHORT
-59,22.88,25.47,0.81,7.27,-3.46,85.89,82.8,1.76,-3.6,LONG
-59,25.0,22.68,0.68,5.74,-2.84,84.33,81.64,0.13,-3.19,LONG
-59,25.55,19.95,0.79,4.42,-2.18,83.58,81.68,0.12,-2.28,SHORT
-31,52.13,6.4,0.43,11.62,5.86,69.49,73.84,6.26,-1.04,LONG
-59,42.01,14.02,0.96,5.19,-2.53,74.63,72.69,0.31,-2.6,SHORT
-59,66.71,1.01,0.43,8.12,-4.08,60.37,57.66,0.35,-4.47,SHORT
-17,74.52,6.32,0.57,17.71,8.75,55.74,61.56,10.44,-1.88,SHORT
-3,76.15,3.54,0.19,7.71,3.95,55.27,57.59,4.19,0.03,SHORT
17,69.02,10.09,0.49,6.05,2.85,56.97,58.73,3.1,-0.29,LONG
35,59.21,17.22,0.3,7.7,3.53,60.03,62.74,4.52,-0.55,LONG
-5,34.06,28.7,0.83,4.74,-2.33,69.12,67.14,0.49,-2.86,LONG
59,31.24,29.47,0.87,7.41,3.54,69.81,72.4,3.72,-0.77,SHORT
-19,26.16,29.79,0.76,6.81,-3.24,70.94,68.42,2.07,-3.56,LONG
59,19.03,28.12,0.95,7.3,3.54,71.54,74.38,3.96,-1.1,LONG
-11,7.26,31.51,0.52,6.75,-3.37,77.08,73.95,-0.39,-4.07,SHORT
31,17.61,24.33,0.15,11.01,5.73,69.85,74.28,6.34,-1.02,SHORT
-45,12.28,28.17,0.36,8.23,-3.76,73.55,70.56,-0.04,-4.07,SHORT
-59,17.53,24.21,0.5,10.17,-5.09,69.81,65.38,1.31,-6.35,LONG
-57,15.92,24.22,0.56,7.03,-3.29,70.44,67.95,-0.3,-3.53,SHORT
-59,21.47,16.11,0.79,5.26,-2.59,66.63,63.24,0.77,-5.08,LONG
-17,24.79,4.55,0.75,3.27,1.62,63.0,64.08,1.71,-0.66,LONG
-59,16.09,8.38,0.28,9.19,-4.13,67.14,63.59,1.7,-5.29,LONG
41,22.37,4.62,0.39,8.46,4.27,63.69,66.57,4.52,0.07,SHORT
-59,17.91,8.48,0.3,5.28,-2.48,66.05,64.22,0.64,-2.78,LONG
-59,20.04,7.48,0.54,3.89,-1.94,64.88,62.59,0.43,-3.53,LONG
21,24.35,5.47,0.44,6.08,3.05,62.68,64.72,3.25,-0.43,SHORT
-59,21.45,8.21,0.58,5.01,-2.4,64.01,62.3,2.09,-2.66,LONG
-59,23.12,7.49,0.65,5.1,-2.53,62.89,61.2,0.64,-2.69,SHORT
11,30.25,3.59,0.41,8.39,3.84,58.17,61.04,4.94,-0.3,SHORT
-59,22.33,6.32,0.59,8.75,-4.05,60.26,57.6,-0.1,-4.41,LONG
57,18.8,8.69,0.69,6.98,3.31,61.56,63.91,3.82,-3.24,LONG
59,10.77,10.74,0.85,6.09,2.98,63.91,65.94,3.17,-0.62,SHORT
-23,8.67,11.65,0.74,4.85,-2.34,64.71,62.69,1.76,-3.12,LONG
-47,7.95,10.06,0.87,7.13,-3.47,64.1,61.76,0.74,-3.65,LONG
59,9.82,7.69,0.55,5.45,2.72,62.52,64.38,2.98,-1.51,SHORT
-51,7.37,9.09,0.64,4.75,-2.28,63.58,62.06,0.22,-2.39,SHORT
59,8.77,7.94,0.55,2.41,1.18,62.62,63.54,1.46,-0.29,LONG
59,6.02,10.37,0.39,4.51,2.15,64.35,65.84,2.31,-0.23,LONG
-45,2.03,13.58,0.58,9.04,-4.17,66.79,63.08,4.33,-5.55,LONG
31,7.89,8.01,0.75,4.6,2.27,62.8,64.31,2.41,-0.95,SHORT
-59,7.37,8.2,1.0,2.32,-1.15,62.94,62.11,0.92,-1.32,LONG
-59,7.77,7.75,0.86,3.95,-1.95,62.6,61.33,1.2,-2.03,SHORT
-59,10.51,5.57,0.55,5.59,-2.79,61.01,58.52,-0.46,-4.08,SHORT
-17,20.42,2.02,0.99,5.05,2.46,56.15,57.98,3.26,-0.76,SHORT
-59,30.94,3.04,0.19,2.8,-1.41,53.17,52.39,0.31,-1.48,SHORT
-59,34.31,2.83,0.34,3.92,-1.97,51.79,50.72,0.69,-2.07,LONG
-59,34.11,4.82,0.98,3.64,-1.79,51.75,50.77,0.42,-1.88,SHORT
11,37.02,5.08,0.67,6.47,3.2,50.65,52.37,3.41,-1.59,LONG
59,24.13,13.75,0.25,12.58,5.43,55.45,58.74,5.93,-1.33,SHORT
57,29.75,10.54,0.71,16.61,8.02,52.8,57.41,8.73,-0.24,LONG
3,17.76,18.24,0.29,13.16,-5.67,57.77,54.22,-0.18,-6.14,LONG
41,19.92,11.09,0.66,4.85,2.41,53.76,55.35,2.95,-0.31,SHORT
-59,16.61,11.86,0.72,4.28,-2.07,54.42,53.23,-0.13,-2.19,LONG
-59,15.83,10.2,0.63,3.38,-1.68,53.74,52.77,0.22,-1.81,SHORT
-59,22.76,3.07,0.38,12.11,-6.14,49.7,46.43,0.05,-6.58,SHORT
-59,58.31,10.03,0.61,12.08,-5.96,39.07,36.55,-0.24,-6.45,LONG
-3,60.53,1.48,0.71,3.85,1.87,39.14,40.1,2.46,-0.89,LONG
-59,52.25,9.7,0.54,12.34,-5.51,41.37,38.89,0.6,-5.99,SHORT
17,68.78,5.31,0.17,11.36,5.9,37.47,40.05,6.88,-0.03,SHORT
-45,54.86,17.29,0.69,4.68,-2.25,40.4,39.41,0.19,-2.45,LONG
-59,57.1,18.12,0.59,4.56,-2.27,39.66,38.71,0.89,-2.38,SHORT
-59,68.82,18.82,0.58,5.81,-2.76,36.72,35.65,1.48,-2.91,LONG
17,61.22,23.25,0.39,4.21,2.11,37.19,38.06,2.34,0.07,SHORT
-59,50.4,20.06,0.44,2.78,-1.39,35.77,35.26,-0.19,-1.41,SHORT
11,39.91,14.35,0.71,4.59,2.24,34.84,35.65,2.33,0.74,SHORT
17,29.42,9.15,0.71,4.59,2.24,34.84,35.66,2.57,0.82,SHORT
53,20.2,4.07,0.71,4.59,2.24,34.84,37.2,7.11,6.79,SHORT
47,18.87,4.36,0.71,4.59,2.24,34.84,36.36,4.36,3.99,SHORT
55,18.39,4.95,0.71,4.59,2.24,34.84,36.92,5.99,5.88,SHORT
59,17.94,5.48,0.71,4.59,2.24,34.84,37.18,7.1,6.72,SHORT
59,17.22,5.86,0.71,4.59,2.24,34.84,38.99,12.36,11.59,SHORT
55,14.7,5.08,0.71,4.59,2.24,34.84,36.13,4.24,3.02,SHORT
-59,14.42,5.42,0.71,4.59,-2.24,34.84,33.89,-1.8,-2.71,LONG
